City,Date,NO2,CO,SO2
Ahmedabad,2015-04-15,26.23,18.01,13.59
Ahmedabad,2015-04-16,36.88,30.8,41.06
Ahmedabad,2015-04-17,46.38,19.91,31.56
Ahmedabad,2015-04-18,20.27,4.3,46.6
Ahmedabad,2015-04-19,20.18,6.99,79.56
Ahmedabad,2015-04-20,21.32,16.73,50.09
Ahmedabad,2015-04-21,17.96,6.3,13.85
Ahmedabad,2015-04-22,13.28,3.44,24.79
Ahmedabad,2015-04-23,14.29,3.35,76.05
Ahmedabad,2015-04-24,18.62,5.7,65.44
Ahmedabad,2015-04-25,19.82,4.55,85.42
Ahmedabad,2015-04-26,15.56,5.29,74.37
Ahmedabad,2015-04-27,14.77,3.11,118.35
Ahmedabad,2015-04-28,12.74,3.88,41.94
Ahmedabad,2015-04-29,16.7,5.05,77.74
Ahmedabad,2015-04-30,14.86,5.69,78.27
Ahmedabad,2015-05-01,15.9,4.67,39.41
Ahmedabad,2015-05-02,23.93,15.69,93.18
Ahmedabad,2015-05-03,23.02,13.12,65.95
Ahmedabad,2015-05-04,10.5,2.69,50.13
Ahmedabad,2015-05-05,0.08,2.73,34.06
Ahmedabad,2015-05-06,4.58,3.14,22.27
Ahmedabad,2015-05-07,20.47,6.24,15.5
Ahmedabad,2015-05-08,19.28,8,20.13
Ahmedabad,2015-05-09,17.82,9.94,39.69
Ahmedabad,2015-05-10,17.24,10.68,54.69
Ahmedabad,2015-05-11,16.69,11.44,42.66
Ahmedabad,2015-05-12,16.08,12.3,27.96
Ahmedabad,2015-05-13,18.9,20.42,31.9
Ahmedabad,2015-05-14,30.02,5.31,36.05
Ahmedabad,2015-05-15,28.33,14.28,70.13
Ahmedabad,2015-05-16,28.79,21.23,17.66
Ahmedabad,2015-05-17,18.79,7.56,38.76
Ahmedabad,2015-05-18,17.43,7.14,52.07
Ahmedabad,2015-05-19,15.86,8.05,36.23
Ahmedabad,2015-05-20,18.16,10.44,17
Ahmedabad,2015-05-21,14.9,9.46,30.67
Ahmedabad,2015-05-22,17.18,10.89,41.12
Ahmedabad,2015-05-23,16.28,2.18,26.4
Ahmedabad,2015-05-24,16.17,2.96,41.96
Ahmedabad,2015-05-25,15.47,4.12,23.67
Ahmedabad,2015-05-26,14.43,4.23,14.46
Ahmedabad,2015-05-27,13.73,4.26,12.85
Ahmedabad,2015-05-28,16.61,5.27,14.91
Ahmedabad,2015-05-29,17.87,13.71,15.33
Ahmedabad,2015-05-30,17.12,6.67,46.82
Ahmedabad,2015-05-31,15.47,5.6,41.68
Ahmedabad,2015-06-01,15.47,7.02,71.97
Ahmedabad,2015-06-02,12.74,7.25,18.64
Ahmedabad,2015-06-03,13.9,6.36,7.76
Ahmedabad,2015-06-04,18.73,6.01,38.05
Ahmedabad,2015-06-05,17.88,8.05,23.84
Ahmedabad,2015-06-06,19.84,6.59,48.05
Ahmedabad,2015-06-07,16.07,6.86,39.85
Ahmedabad,2015-06-08,16.53,7.76,9.89
Ahmedabad,2015-06-09,11.62,7.41,3.13
Ahmedabad,2015-06-10,15.59,8.56,0.76
Ahmedabad,2015-06-11,11.52,8.21,0.52
Ahmedabad,2015-06-12,13.33,8.26,1.02
Ahmedabad,2015-06-13,14.91,9.63,0.81
Ahmedabad,2015-06-14,18.57,8.67,1.05
Ahmedabad,2015-06-15,20.55,9.35,0.74
Ahmedabad,2015-06-16,16.26,8.54,0.87
Ahmedabad,2015-06-17,14.36,7.53,2.17
Ahmedabad,2015-06-18,13.51,7.59,4.11
Ahmedabad,2015-06-19,13.91,7.34,4.04
Ahmedabad,2015-06-20,11.68,7.55,4.01
Ahmedabad,2015-06-21,10.61,7.15,5.62
Ahmedabad,2015-06-22,11.07,7.99,4.1
Ahmedabad,2015-06-23,11.16,7.45,4.99
Ahmedabad,2015-06-24,10.1,7.34,10.86
Ahmedabad,2015-06-25,9.68,8.68,12.28
Ahmedabad,2015-06-26,12.79,8.58,11.09
Ahmedabad,2015-06-27,9.83,9.15,12.31
Ahmedabad,2015-06-28,9.53,8.07,13.91
Ahmedabad,2015-06-29,11.51,9.23,5.27
Ahmedabad,2015-06-30,13.59,8.87,8.09
Ahmedabad,2015-07-01,10.9,9.01,7.31
Ahmedabad,2015-07-02,11.94,9.56,5.72
Ahmedabad,2015-07-03,9.81,9.43,6.78
Ahmedabad,2015-07-04,9.53,8.03,9.33
Ahmedabad,2015-07-05,9.45,8.11,7.93
Ahmedabad,2015-07-06,12.38,8.91,10.05
Ahmedabad,2015-07-07,11.08,9.74,10.87
Ahmedabad,2015-07-08,7.8,10.55,10.28
Ahmedabad,2015-07-09,0.17,11.48,10.25
Ahmedabad,2015-07-10,0.12,11.55,12.7
Ahmedabad,2015-07-11,0.16,11.49,10.07
Ahmedabad,2015-07-12,0.17,11.47,11.09
Ahmedabad,2015-07-13,0.24,11.3,7.73
Ahmedabad,2015-07-14,0.36,10.8,7.8
Ahmedabad,2015-07-15,2.69,8,10
Ahmedabad,2015-07-16,8.07,0.64,16.31
Ahmedabad,2015-07-17,8.02,0.6,18.93
Ahmedabad,2015-07-18,8,0.65,18.99
Ahmedabad,2015-07-19,7.89,0.72,11.28
Ahmedabad,2015-07-20,8.1,0.55,10.29
Ahmedabad,2015-07-21,7.9,0.67,1.28
Ahmedabad,2015-07-22,8.28,0.55,14.58
Ahmedabad,2015-07-23,9.73,0.1,13.62
Ahmedabad,2015-07-24,9.57,0.06,13.58
Ahmedabad,2015-07-25,8.64,0.14,15.11
Ahmedabad,2015-07-26,8.78,0.18,11.52
Ahmedabad,2015-07-27,9.45,1.52,11.23
Ahmedabad,2015-07-28,11.26,5.89,11.56
Ahmedabad,2015-07-29,10.89,5.75,14.7
Ahmedabad,2015-07-30,10.58,7.01,12.95
Ahmedabad,2015-07-31,10.47,6.92,19.8
Ahmedabad,2015-08-01,10.52,6.74,8.27
Ahmedabad,2015-08-02,10.51,6.91,13.48
Ahmedabad,2015-08-03,11.56,7.21,13.62
Ahmedabad,2015-08-04,20.52,6.69,5.69
Ahmedabad,2015-08-05,20.42,6.99,9.23
Ahmedabad,2015-08-06,20.4,7.17,6.28
Ahmedabad,2015-08-07,20.3,7.14,6.77
Ahmedabad,2015-08-08,20.21,7.22,8.66
Ahmedabad,2015-08-09,20.09,7.4,9.95
Ahmedabad,2015-08-10,20.21,7.35,9.74
Ahmedabad,2015-08-11,20.23,7.48,8.92
Ahmedabad,2015-08-12,20.2,7.47,11.73
Ahmedabad,2015-08-13,20.06,7.49,11.23
Ahmedabad,2015-08-14,19.94,7.57,8.21
Ahmedabad,2015-08-15,20.27,7.3,6.41
Ahmedabad,2015-08-16,20.24,7.35,9.17
Ahmedabad,2015-08-17,20.1,7.41,9.64
Ahmedabad,2015-08-18,20.14,7.31,10.65
Ahmedabad,2015-08-19,20.16,7.41,9.33
Ahmedabad,2015-08-20,19.67,12.38,10.37
Ahmedabad,2015-08-21,14.84,17.31,10.76
Ahmedabad,2015-08-22,14.82,17.24,12.39
Ahmedabad,2015-08-23,14.82,17.17,11.68
Ahmedabad,2015-08-24,14.86,17.12,12.96
Ahmedabad,2015-08-25,14.85,17.08,4.73
Ahmedabad,2015-08-26,14.79,17.11,8.86
Ahmedabad,2015-08-27,14.84,17.01,7.05
Ahmedabad,2015-08-28,14.89,17.07,10.9
Ahmedabad,2015-08-29,14.83,16.98,10.02
Ahmedabad,2015-08-30,14.84,17.04,4.23
Ahmedabad,2015-08-31,14.86,17.05,5.96
Ahmedabad,2015-09-01,14.82,17.03,3.69
Ahmedabad,2015-09-02,14.82,17.01,6.45
Ahmedabad,2015-09-03,14.85,17.04,6.13
Ahmedabad,2015-09-04,14.87,16.97,8.87
Ahmedabad,2015-09-05,14.81,16.97,9.89
Ahmedabad,2015-09-06,14.89,16.95,6.88
Ahmedabad,2015-09-07,14.88,16.94,8.56
Ahmedabad,2015-09-08,14.85,17,15.13
Ahmedabad,2015-09-09,50.9,16.31,8.73
Ahmedabad,2015-09-10,12.31,9.46,11.63
Ahmedabad,2015-09-11,15.43,8.68,8.1
Ahmedabad,2015-09-12,11.47,7.14,7.92
Ahmedabad,2015-09-13,9.96,6.82,11.58
Ahmedabad,2015-09-14,11.35,8.43,11.63
Ahmedabad,2015-09-15,10.94,7.14,5.85
Ahmedabad,2015-09-16,9.94,6.61,8.82
Ahmedabad,2015-09-17,9.7,6.5,9.2
Ahmedabad,2015-09-18,12.88,7.68,8.28
Ahmedabad,2015-09-19,10.99,8.45,12.59
Ahmedabad,2015-09-20,,,
Ahmedabad,2015-09-21,12.25,9.95,9.51
Ahmedabad,2015-09-22,9.68,9.21,5.98
Ahmedabad,2015-09-23,9.62,10.61,3.69
Ahmedabad,2015-09-24,10.48,9.26,7.72
Ahmedabad,2015-09-25,19.75,8.69,4.83
Ahmedabad,2015-09-26,13.62,9.05,7.47
Ahmedabad,2015-09-27,14.17,11.26,9.6
Ahmedabad,2015-09-28,21.5,16.31,13.73
Ahmedabad,2015-09-29,30.6,10.33,10.96
Ahmedabad,2015-09-30,32.41,8.85,15.63
Ahmedabad,2015-10-01,34.7,17.96,15.44
Ahmedabad,2015-10-02,37.85,33.31,27.32
Ahmedabad,2015-10-03,28.38,11.14,25.59
Ahmedabad,2015-10-04,21.51,7.83,6.98
Ahmedabad,2015-10-05,30.23,20.16,32.74
Ahmedabad,2015-10-06,32.1,15.83,19.37
Ahmedabad,2015-10-07,32.5,18.21,31.75
Ahmedabad,2015-10-08,36.97,27.14,24.88
Ahmedabad,2015-10-09,34.86,15.9,26.35
Ahmedabad,2015-10-10,29.22,5.42,79.47
Ahmedabad,2015-10-11,23.45,5.19,25.44
Ahmedabad,2015-10-12,33.63,10.38,30.06
Ahmedabad,2015-10-13,32.98,20.2,21.89
Ahmedabad,2015-10-14,25.73,18.12,17.89
Ahmedabad,2015-10-15,32.87,17.03,22.59
Ahmedabad,2015-10-16,31.2,17.72,26.09
Ahmedabad,2015-10-17,34.71,20.61,24.66
Ahmedabad,2015-10-18,39.42,52.33,39.15
Ahmedabad,2015-10-19,35.22,15.49,34.03
Ahmedabad,2015-10-20,36.63,23.03,94.3
Ahmedabad,2015-10-21,30.65,12.92,42.08
Ahmedabad,2015-10-22,23.83,4.79,34.4
Ahmedabad,2015-10-23,28.93,10.58,44.91
Ahmedabad,2015-10-24,34.16,32.27,27.73
Ahmedabad,2015-10-25,39.1,34.64,46.09
Ahmedabad,2015-10-26,55.67,145.32,20.47
Ahmedabad,2015-10-27,40.31,38.09,22.94
Ahmedabad,2015-10-28,25.75,5.42,44.92
Ahmedabad,2015-10-29,21.15,1.89,37.31
Ahmedabad,2015-10-30,18.33,2.31,19.08
Ahmedabad,2015-10-31,12.1,1.22,13.73
Ahmedabad,2015-11-01,,,
Ahmedabad,2015-11-02,44.2,75.42,13.78
Ahmedabad,2015-11-03,36.87,33.06,21.24
Ahmedabad,2015-11-04,42.21,57.37,22.18
Ahmedabad,2015-11-05,35.31,28.41,50.33
Ahmedabad,2015-11-06,50.11,39.61,40.78
Ahmedabad,2015-11-07,29.04,9.39,29.18
Ahmedabad,2015-11-08,31.91,6.74,26.94
Ahmedabad,2015-11-09,,,
Ahmedabad,2015-11-10,,,
Ahmedabad,2015-11-11,,,
Ahmedabad,2015-11-12,,,
