City,Date,NO2,CO,SO2
Brajrajnagar,2018-07-06,10.43,2.17,12.43
Brajrajnagar,2018-07-07,10.53,2.27,12.59
Brajrajnagar,2018-07-08,9.56,2.19,12.7
Brajrajnagar,2018-07-09,9.23,2.14,12.59
Brajrajnagar,2018-07-10,9.72,2.22,12.64
Brajrajnagar,2018-07-11,9.99,2.3,12.73
Brajrajnagar,2018-07-12,9.6,2.28,12.93
Brajrajnagar,2018-07-13,9.26,2.27,12.87
Brajrajnagar,2018-07-14,7.72,2.08,12.27
Brajrajnagar,2018-07-15,5.59,2,11.95
Brajrajnagar,2018-07-16,7.81,2.07,12.26
Brajrajnagar,2018-07-17,8.66,2.22,12.85
Brajrajnagar,2018-07-18,8.29,2.13,12.68
Brajrajnagar,2018-07-19,10.79,2.14,13.03
Brajrajnagar,2018-07-20,9.32,1.94,12.49
Brajrajnagar,2018-07-21,8.89,0.37,12.28
Brajrajnagar,2018-07-22,8.37,0,12.24
Brajrajnagar,2018-07-23,8.59,0,12.58
Brajrajnagar,2018-07-24,10.14,0,12.83
Brajrajnagar,2018-07-25,9.71,0,12.59
Brajrajnagar,2018-07-26,8.78,0,12.34
Brajrajnagar,2018-07-27,8.66,0,12.33
Brajrajnagar,2018-07-28,9.44,0,12.46
Brajrajnagar,2018-07-29,8.22,0,12.36
Brajrajnagar,2018-07-30,9.76,0,12.6
Brajrajnagar,2018-07-31,9.41,0,12.51
Brajrajnagar,2018-08-01,8.87,0,12.32
Brajrajnagar,2018-08-02,10.24,0,12.41
Brajrajnagar,2018-08-03,11.1,0,12.86
Brajrajnagar,2018-08-04,9.83,0,12.57
Brajrajnagar,2018-08-05,9.64,0,12.66
Brajrajnagar,2018-08-06,7.82,0,12.58
Brajrajnagar,2018-08-07,6.61,0,12.3
Brajrajnagar,2018-08-08,7.62,0,12.58
Brajrajnagar,2018-08-09,8.73,0,12.67
Brajrajnagar,2018-08-10,8.93,0,12.92
Brajrajnagar,2018-08-11,9.73,0,13.08
Brajrajnagar,2018-08-12,8.53,0,12.96
Brajrajnagar,2018-08-13,7.5,0,12.52
Brajrajnagar,2018-08-14,6.45,0,12.29
Brajrajnagar,2018-08-15,5.31,0,12.01
Brajrajnagar,2018-08-16,7.31,0,12.23
Brajrajnagar,2018-08-17,8.27,0,12.83
Brajrajnagar,2018-08-18,7.62,0,12.86
Brajrajnagar,2018-08-19,8.36,0.2,12.88
Brajrajnagar,2018-08-20,7.01,0.16,12.55
Brajrajnagar,2018-08-21,7.29,0.03,12.58
Brajrajnagar,2018-08-22,7.17,0.31,12.17
Brajrajnagar,2018-08-23,8.58,0.32,12.32
Brajrajnagar,2018-08-24,9.2,0.1,12.54
Brajrajnagar,2018-08-25,7.38,0.45,12.66
Brajrajnagar,2018-08-26,6.03,0.13,12.3
Brajrajnagar,2018-08-27,6.8,0.17,12.65
Brajrajnagar,2018-08-28,7.04,0.14,12.63
Brajrajnagar,2018-08-29,7.64,0.25,12.59
Brajrajnagar,2018-08-30,7.08,0.02,12.42
Brajrajnagar,2018-08-31,,,
Brajrajnagar,2018-09-01,,,
Brajrajnagar,2018-09-02,,,
Brajrajnagar,2018-09-03,,,
Brajrajnagar,2018-09-04,,,
Brajrajnagar,2018-09-05,,,
Brajrajnagar,2018-09-06,,,
Brajrajnagar,2018-09-07,,,
Brajrajnagar,2018-09-08,,,
Brajrajnagar,2018-09-09,,,
Brajrajnagar,2018-09-10,,,
Brajrajnagar,2018-09-11,,,
Brajrajnagar,2018-09-12,,,
Brajrajnagar,2018-09-13,,,
Brajrajnagar,2018-09-14,,,
Brajrajnagar,2018-09-15,,,
Brajrajnagar,2018-09-16,,,
Brajrajnagar,2018-09-17,,,
Brajrajnagar,2018-09-18,,,
Brajrajnagar,2018-09-19,,,
Brajrajnagar,2018-09-20,,,
Brajrajnagar,2018-09-21,,,
Brajrajnagar,2018-09-22,,,
Brajrajnagar,2018-09-23,,,
Brajrajnagar,2018-09-24,,,
Brajrajnagar,2018-09-25,,,
Brajrajnagar,2018-09-26,,,
Brajrajnagar,2018-09-27,,,
Brajrajnagar,2018-09-28,,,
Brajrajnagar,2018-09-29,,,
Brajrajnagar,2018-09-30,,,
Brajrajnagar,2018-10-01,,,
Brajrajnagar,2018-10-02,,,
Brajrajnagar,2018-10-03,,,
Brajrajnagar,2018-10-04,,,
Brajrajnagar,2018-10-05,,,
Brajrajnagar,2018-10-06,,,
Brajrajnagar,2018-10-07,,,
Brajrajnagar,2018-10-08,,,
Brajrajnagar,2018-10-09,,,
Brajrajnagar,2018-10-10,,,
Brajrajnagar,2018-10-11,,,
Brajrajnagar,2018-10-12,,,
Brajrajnagar,2018-10-13,,,
Brajrajnagar,2018-10-14,,,
Brajrajnagar,2018-10-15,,,
Brajrajnagar,2018-10-16,,,
Brajrajnagar,2018-10-17,19.25,0,13.61
Brajrajnagar,2018-10-18,14.44,0,13.53
Brajrajnagar,2018-10-19,13.22,0,13.3
Brajrajnagar,2018-10-20,10.15,0,12.86
Brajrajnagar,2018-10-21,10.66,0,12.79
Brajrajnagar,2018-10-22,12.16,0,13.07
Brajrajnagar,2018-10-23,10.61,0.9,13.05
Brajrajnagar,2018-10-24,15.43,2.76,12.65
Brajrajnagar,2018-10-25,19.83,0.34,13.42
Brajrajnagar,2018-10-26,17.1,0.31,12.61
Brajrajnagar,2018-10-27,20.64,0.29,12.67
Brajrajnagar,2018-10-28,20.31,0.45,12.82
Brajrajnagar,2018-10-29,21.39,0.49,12.95
Brajrajnagar,2018-10-30,27.27,0.48,12.36
Brajrajnagar,2018-10-31,18.61,0.41,12.23
Brajrajnagar,2018-11-01,18.96,0.45,12.63
Brajrajnagar,2018-11-02,22.23,0.49,12.92
Brajrajnagar,2018-11-03,19.93,0.55,13.67
Brajrajnagar,2018-11-04,24.11,0.57,14.14
Brajrajnagar,2018-11-05,25.09,0.57,13.59
Brajrajnagar,2018-11-06,28.78,0.6,13.52
Brajrajnagar,2018-11-07,17.2,0.51,12.92
Brajrajnagar,2018-11-08,22.22,0.53,13.29
Brajrajnagar,2018-11-09,22.49,0.61,13.33
Brajrajnagar,2018-11-10,24.57,0.7,13.28
Brajrajnagar,2018-11-11,25.77,0.79,13.44
Brajrajnagar,2018-11-12,23.48,0.85,14.05
Brajrajnagar,2018-11-13,23.18,0.85,13.31
Brajrajnagar,2018-11-14,25.17,0.96,13.51
Brajrajnagar,2018-11-15,16.03,1.09,13.43
Brajrajnagar,2018-11-16,,,
Brajrajnagar,2018-11-17,,,
Brajrajnagar,2018-11-18,,,
Brajrajnagar,2018-11-19,,,
Brajrajnagar,2018-11-20,,,
Brajrajnagar,2018-11-21,,,
Brajrajnagar,2018-11-22,,,
Brajrajnagar,2018-11-23,,,
Brajrajnagar,2018-11-24,,,
Brajrajnagar,2018-11-25,,,
Brajrajnagar,2018-11-26,,,
Brajrajnagar,2018-11-27,,,
Brajrajnagar,2018-11-28,,,
Brajrajnagar,2018-11-29,,,
Brajrajnagar,2018-11-30,,,
Brajrajnagar,2018-12-01,,,
Brajrajnagar,2018-12-02,,,
Brajrajnagar,2018-12-03,,,
Brajrajnagar,2018-12-04,,,
Brajrajnagar,2018-12-05,28,1.29,15.16
Brajrajnagar,2018-12-06,23.62,1.36,15.05
Brajrajnagar,2018-12-07,23.87,1.37,14.31
Brajrajnagar,2018-12-08,20.18,1.29,13.7
Brajrajnagar,2018-12-09,24.5,1.45,14.31
Brajrajnagar,2018-12-10,29.48,1.48,15.63
Brajrajnagar,2018-12-11,21.83,1.47,13.89
Brajrajnagar,2018-12-12,18.39,1.59,14.13
Brajrajnagar,2018-12-13,16.98,1.57,14.26
Brajrajnagar,2018-12-14,17.39,1.66,14.16
Brajrajnagar,2018-12-15,18.32,1.4,13.53
Brajrajnagar,2018-12-16,16.44,1.27,12.87
Brajrajnagar,2018-12-17,12.82,1.21,12.9
Brajrajnagar,2018-12-18,10.97,1.2,12.85
Brajrajnagar,2018-12-19,11.31,1.5,13.48
Brajrajnagar,2018-12-20,17.27,1.52,13.38
Brajrajnagar,2018-12-21,18.41,1.54,13.76
Brajrajnagar,2018-12-22,16.85,1.5,13.48
Brajrajnagar,2018-12-23,19.9,1.51,13.89
Brajrajnagar,2018-12-24,23.07,2.25,14.08
Brajrajnagar,2018-12-25,22.17,2.27,13.95
Brajrajnagar,2018-12-26,23.12,2.36,13.92
Brajrajnagar,2018-12-27,21.17,2.4,13.81
Brajrajnagar,2018-12-28,25.65,2.3,13.59
Brajrajnagar,2018-12-29,24.13,2.47,13.66
Brajrajnagar,2018-12-30,24.46,2.46,13.88
Brajrajnagar,2018-12-31,26.53,2.7,14.5
Brajrajnagar,2019-01-01,23.24,2.82,14.38
Brajrajnagar,2019-01-02,24.44,2.93,16.19
Brajrajnagar,2019-01-03,28.77,3,15.81
Brajrajnagar,2019-01-04,25.85,2.82,15.05
Brajrajnagar,2019-01-05,28.05,2.89,15.69
Brajrajnagar,2019-01-06,29.41,3,16.07
Brajrajnagar,2019-01-07,28.26,3.04,15.34
Brajrajnagar,2019-01-08,23.73,3.02,15.05
Brajrajnagar,2019-01-09,23.55,3.03,14.86
Brajrajnagar,2019-01-10,26.1,2.88,14.78
Brajrajnagar,2019-01-11,26.6,3,15.67
Brajrajnagar,2019-01-12,32.79,3.21,17.73
Brajrajnagar,2019-01-13,27.88,3.19,17.69
Brajrajnagar,2019-01-14,26.74,3.31,16.54
Brajrajnagar,2019-01-15,25.7,2.96,15.77
Brajrajnagar,2019-01-16,32,3,18.08
Brajrajnagar,2019-01-17,28.35,3.14,17.84
Brajrajnagar,2019-01-18,31.39,3.25,16.63
Brajrajnagar,2019-01-19,28.87,3.14,16.29
Brajrajnagar,2019-01-20,25.11,3.22,16.09
Brajrajnagar,2019-01-21,28.07,3.28,16.85
Brajrajnagar,2019-01-22,30.29,3.41,17.2
Brajrajnagar,2019-01-23,25.19,3.26,17.1
Brajrajnagar,2019-01-24,26.08,3.04,16.68
Brajrajnagar,2019-01-25,23.19,3.19,15.71
Brajrajnagar,2019-01-26,18.37,3.01,14.57
Brajrajnagar,2019-01-27,17.68,2.91,14.64
Brajrajnagar,2019-01-28,15.64,3.2,14.62
Brajrajnagar,2019-01-29,23.57,3.05,14.76
Brajrajnagar,2019-01-30,23.45,3.12,15.49
Brajrajnagar,2019-01-31,25.97,3.12,16.66
Brajrajnagar,2019-02-01,26.9,3.41,16.72
Brajrajnagar,2019-02-02,28.08,3.4,15.83
Brajrajnagar,2019-02-03,27.22,3.46,16.13
Brajrajnagar,2019-02-04,26.51,3.38,16.28
Brajrajnagar,2019-02-05,28.31,3.57,16.15
Brajrajnagar,2019-02-06,28.41,3.48,16.6
Brajrajnagar,2019-02-07,23.73,3.35,16.89
Brajrajnagar,2019-02-08,22.47,3.3,15.69
Brajrajnagar,2019-02-09,20.24,3.04,14.89
Brajrajnagar,2019-02-10,22.18,3.06,14.66
Brajrajnagar,2019-02-11,28.39,3.15,17.35
Brajrajnagar,2019-02-12,25.67,3.41,16.81
Brajrajnagar,2019-02-13,26.94,3.55,17.93
Brajrajnagar,2019-02-14,30.09,3.53,17.95
Brajrajnagar,2019-02-15,24.95,3.32,18.04
Brajrajnagar,2019-02-16,18.43,3.03,16.22
Brajrajnagar,2019-02-17,20.57,3.32,15.88
Brajrajnagar,2019-02-18,24.75,3.23,16.33
Brajrajnagar,2019-02-19,23.85,3.27,16.92
Brajrajnagar,2019-02-20,19.86,3.18,16.12
Brajrajnagar,2019-02-21,24.69,3.08,16.07
Brajrajnagar,2019-02-22,22.72,3.37,16.56
Brajrajnagar,2019-02-23,19.58,3.16,15.47
Brajrajnagar,2019-02-24,19.72,3.02,16.13
Brajrajnagar,2019-02-25,21.38,3,15.42
Brajrajnagar,2019-02-26,16.82,2.91,15.91
Brajrajnagar,2019-02-27,16.87,2.95,15.61
Brajrajnagar,2019-02-28,18.47,2.76,14.34
Brajrajnagar,2019-03-01,20.32,2.65,10.13
Brajrajnagar,2019-03-02,22.36,2.87,4.11
Brajrajnagar,2019-03-03,21.02,3.02,3.45
Brajrajnagar,2019-03-04,17.57,2.98,2.87
Brajrajnagar,2019-03-05,16.64,2.94,2.33
Brajrajnagar,2019-03-06,16.64,2.76,4.89
Brajrajnagar,2019-03-07,19.47,2.78,7.03
Brajrajnagar,2019-03-08,23.71,2.76,7.42
Brajrajnagar,2019-03-09,26.05,2.78,8.74
Brajrajnagar,2019-03-10,25.04,2.98,8.33
Brajrajnagar,2019-03-11,24.62,2.82,7.54
Brajrajnagar,2019-03-12,21.91,3,7.98
Brajrajnagar,2019-03-13,18.74,3.2,7.37
Brajrajnagar,2019-03-14,16.91,2.92,7.23
Brajrajnagar,2019-03-15,16.38,2.81,7.43
Brajrajnagar,2019-03-16,15.82,2.81,7.71
Brajrajnagar,2019-03-17,17.86,2.87,7.56
Brajrajnagar,2019-03-18,15.87,2.78,6.94
Brajrajnagar,2019-03-19,16.33,2.84,7.7
Brajrajnagar,2019-03-20,16.48,2.93,7.23
Brajrajnagar,2019-03-21,16.79,2.66,7.19
Brajrajnagar,2019-03-22,15.26,2.82,6.91
Brajrajnagar,2019-03-23,17.06,2.76,6.85
Brajrajnagar,2019-03-24,22.36,2.88,7.15
Brajrajnagar,2019-03-25,24.06,3.05,7.92
Brajrajnagar,2019-03-26,24.53,2.97,8.41
Brajrajnagar,2019-03-27,21.75,2.7,7.5
Brajrajnagar,2019-03-28,20.75,2.86,7.07
Brajrajnagar,2019-03-29,27.08,3.11,8.19
Brajrajnagar,2019-03-30,25.26,3.14,9.51
Brajrajnagar,2019-03-31,19.73,3.18,8.91
Brajrajnagar,2019-04-01,21.07,2.88,8.53
Brajrajnagar,2019-04-02,23.94,3.01,7.73
Brajrajnagar,2019-04-03,24.73,3.18,9.28
Brajrajnagar,2019-04-04,23.77,3.25,9.57
Brajrajnagar,2019-04-05,,,
Brajrajnagar,2019-04-06,,0,
Brajrajnagar,2019-04-07,,,
Brajrajnagar,2019-04-08,,,
Brajrajnagar,2019-04-09,,,
Brajrajnagar,2019-04-10,,,
Brajrajnagar,2019-04-11,23.7,2.4,7.58
Brajrajnagar,2019-04-12,18.33,2.54,7.51
Brajrajnagar,2019-04-13,19.06,2.21,7.43
Brajrajnagar,2019-04-14,21.66,2.49,7.77
Brajrajnagar,2019-04-15,25.89,2.92,9.85
Brajrajnagar,2019-04-16,,,
Brajrajnagar,2019-04-17,,,
Brajrajnagar,2019-04-18,,,
Brajrajnagar,2019-04-19,14.18,2.5,7.9
Brajrajnagar,2019-04-20,16.05,2.38,7.62
Brajrajnagar,2019-04-21,,,
Brajrajnagar,2019-04-22,20.23,1.9,7.67
Brajrajnagar,2019-04-23,,,
Brajrajnagar,2019-04-24,,0,
Brajrajnagar,2019-04-25,24.28,1.03,8.18
Brajrajnagar,2019-04-26,21.97,2.13,7.85
Brajrajnagar,2019-04-27,24.17,2.22,7.16
Brajrajnagar,2019-04-28,24.32,2.36,7.1
Brajrajnagar,2019-04-29,28.24,2.56,9.27
Brajrajnagar,2019-04-30,16.61,1.48,7.97
Brajrajnagar,2019-05-01,17.37,2.22,6.39
Brajrajnagar,2019-05-02,13.59,2.18,7.26
Brajrajnagar,2019-05-03,9.98,2.02,5.78
Brajrajnagar,2019-05-04,15.39,2.19,6.54
Brajrajnagar,2019-05-05,,0,
Brajrajnagar,2019-05-06,,0,
Brajrajnagar,2019-05-07,,0,
Brajrajnagar,2019-05-08,,0,
Brajrajnagar,2019-05-09,27.54,1.41,6.61
Brajrajnagar,2019-05-10,26.85,1.08,6.75
Brajrajnagar,2019-05-11,,0,
Brajrajnagar,2019-05-12,22.14,1.53,7.2
Brajrajnagar,2019-05-13,20.97,2.88,6.7
Brajrajnagar,2019-05-14,22.48,1.19,6.58
Brajrajnagar,2019-05-15,,0,
Brajrajnagar,2019-05-16,,0,
Brajrajnagar,2019-05-17,,0,
Brajrajnagar,2019-05-18,,0,
Brajrajnagar,2019-05-19,,0,
Brajrajnagar,2019-05-20,,0,
Brajrajnagar,2019-05-21,,0,
Brajrajnagar,2019-05-22,15.39,1.92,6.87
Brajrajnagar,2019-05-23,21.23,1.92,7.85
Brajrajnagar,2019-05-24,20.62,2.36,7.02
Brajrajnagar,2019-05-25,23.41,3.17,6.85
Brajrajnagar,2019-05-26,19.09,3.01,5.74
Brajrajnagar,2019-05-27,20.3,3.17,7.38
Brajrajnagar,2019-05-28,18.44,2.55,7.84
Brajrajnagar,2019-05-29,3.01,0.02,2.41
Brajrajnagar,2019-05-30,19.74,1.43,8.34
Brajrajnagar,2019-05-31,18.4,1.48,7.32
Brajrajnagar,2019-06-01,16.28,1.52,7.76
Brajrajnagar,2019-06-02,19.75,3.12,6.66
Brajrajnagar,2019-06-03,14.14,2.15,8.36
Brajrajnagar,2019-06-04,17.04,3.06,7.46
Brajrajnagar,2019-06-05,23.39,2.17,7.39
Brajrajnagar,2019-06-06,17.47,2.01,7.65
Brajrajnagar,2019-06-07,16.16,2.92,6.7
Brajrajnagar,2019-06-08,16.96,3.25,8.06
Brajrajnagar,2019-06-09,14.56,0.89,6.55
Brajrajnagar,2019-06-10,12.95,0.99,6.91
Brajrajnagar,2019-06-11,18.81,3.16,6.98
Brajrajnagar,2019-06-12,14.67,1.36,7.6
Brajrajnagar,2019-06-13,9.22,0.13,23.41
Brajrajnagar,2019-06-14,13.6,0.53,5.88
Brajrajnagar,2019-06-15,10.29,0.57,5.09
Brajrajnagar,2019-06-16,,0,
Brajrajnagar,2019-06-17,17.14,0.98,3.04
Brajrajnagar,2019-06-18,12.38,1.81,3.98
Brajrajnagar,2019-06-19,15.57,1.86,3.87
Brajrajnagar,2019-06-20,14.19,1.4,3.49
Brajrajnagar,2019-06-21,14.88,1.85,2.37
Brajrajnagar,2019-06-22,12.2,1.91,2.3
Brajrajnagar,2019-06-23,13.34,1.84,1.66
Brajrajnagar,2019-06-24,13.5,1.91,3.01
Brajrajnagar,2019-06-25,13.96,1.9,3.05
Brajrajnagar,2019-06-26,15.9,1.42,2.57
Brajrajnagar,2019-06-27,17.82,1.93,2.61
Brajrajnagar,2019-06-28,12.44,1.35,2.09
Brajrajnagar,2019-06-29,13.23,1.07,2.73
Brajrajnagar,2019-06-30,8.11,1.98,2.04
Brajrajnagar,2019-07-01,12.97,1.87,2.19
Brajrajnagar,2019-07-02,13.03,1.85,2.11
Brajrajnagar,2019-07-03,11.52,1.88,1.9
Brajrajnagar,2019-07-04,12.26,1.57,2.64
Brajrajnagar,2019-07-05,12.55,1.59,2.15
Brajrajnagar,2019-07-06,11.29,1.88,1.96
Brajrajnagar,2019-07-07,10.83,1.24,1.31
Brajrajnagar,2019-07-08,17.95,1.04,1.85
Brajrajnagar,2019-07-09,13.29,1.84,1.87
Brajrajnagar,2019-07-10,15.31,1.8,1.74
Brajrajnagar,2019-07-11,12.06,1.87,2.16
Brajrajnagar,2019-07-12,12.62,1.85,2.71
Brajrajnagar,2019-07-13,12.05,1.97,3.13
Brajrajnagar,2019-07-14,11.22,1.85,2.3
Brajrajnagar,2019-07-15,11.43,1.81,2.88
Brajrajnagar,2019-07-16,9.48,1.92,4.2
Brajrajnagar,2019-07-17,11.45,1.78,2.57
Brajrajnagar,2019-07-18,11.95,1.46,2.58
Brajrajnagar,2019-07-19,11.38,1.02,3.14
Brajrajnagar,2019-07-20,12.17,1.81,5.67
Brajrajnagar,2019-07-21,8.74,0.88,3.16
Brajrajnagar,2019-07-22,10.32,0.95,3.9
Brajrajnagar,2019-07-23,11.74,1.42,2.28
Brajrajnagar,2019-07-24,11.57,1.24,1.26
Brajrajnagar,2019-07-25,7.52,1.79,1.41
Brajrajnagar,2019-07-26,12.58,1.86,1.96
Brajrajnagar,2019-07-27,11.4,0.91,1.41
Brajrajnagar,2019-07-28,,0,
Brajrajnagar,2019-07-29,8.03,0.94,1.2
Brajrajnagar,2019-07-30,8.65,1.75,1.29
Brajrajnagar,2019-07-31,8.23,1.85,1.07
Brajrajnagar,2019-08-01,8.21,1.98,1.46
Brajrajnagar,2019-08-02,6.32,1.82,1.95
Brajrajnagar,2019-08-03,6.54,1.91,1.47
Brajrajnagar,2019-08-04,10.73,1.78,1.08
Brajrajnagar,2019-08-05,,,
Brajrajnagar,2019-08-06,7.35,2,2.24
Brajrajnagar,2019-08-07,7.87,1.85,1.26
Brajrajnagar,2019-08-08,5.79,0.8,3.02
Brajrajnagar,2019-08-09,11.17,1.82,3.71
Brajrajnagar,2019-08-10,8.93,2.04,2.02
Brajrajnagar,2019-08-11,12.75,2.03,2.17
Brajrajnagar,2019-08-12,13.44,0.88,1.94
Brajrajnagar,2019-08-13,8.4,1.95,2.84
Brajrajnagar,2019-08-14,6.99,1.86,2.89
Brajrajnagar,2019-08-15,9,2.05,3.63
Brajrajnagar,2019-08-16,7.5,1.54,5.26
Brajrajnagar,2019-08-17,8.02,2,6.15
Brajrajnagar,2019-08-18,9.02,1.97,6.14
Brajrajnagar,2019-08-19,9.35,1.49,6.88
Brajrajnagar,2019-08-20,11.89,1.73,7.8
Brajrajnagar,2019-08-21,11.04,1.96,8.44
Brajrajnagar,2019-08-22,9.97,1.83,9.04
Brajrajnagar,2019-08-23,8.68,1.7,6.44
Brajrajnagar,2019-08-24,7.26,1.92,6.42
Brajrajnagar,2019-08-25,9.04,1.92,7.06
Brajrajnagar,2019-08-26,11,1.95,7.06
Brajrajnagar,2019-08-27,10.09,2.02,7.69
Brajrajnagar,2019-08-28,12.19,2,7.15
Brajrajnagar,2019-08-29,10.28,1.96,6.91
Brajrajnagar,2019-08-30,10.32,0.27,5.64
Brajrajnagar,2019-08-31,,0,
Brajrajnagar,2019-09-01,11.29,1.11,8.32
Brajrajnagar,2019-09-02,10.64,1.42,6.38
Brajrajnagar,2019-09-03,,0,
Brajrajnagar,2019-09-04,8.07,1.05,11.05
Brajrajnagar,2019-09-05,6.65,1.93,10.54
Brajrajnagar,2019-09-06,6.16,1.92,9.56
Brajrajnagar,2019-09-07,8.23,1.97,9.58
Brajrajnagar,2019-09-08,14.09,0.62,9.23
Brajrajnagar,2019-09-09,10.22,1.04,24.97
Brajrajnagar,2019-09-10,11.43,1.95,11.01
Brajrajnagar,2019-09-11,14.16,1.87,9.07
Brajrajnagar,2019-09-12,10.69,1.69,15.72
Brajrajnagar,2019-09-13,11.98,1.91,9.14
Brajrajnagar,2019-09-14,11.07,1.92,8.95
Brajrajnagar,2019-09-15,4.44,1.51,8.64
Brajrajnagar,2019-09-16,11.01,1.72,8.46
Brajrajnagar,2019-09-17,8.67,2,8.09
Brajrajnagar,2019-09-18,7.12,1.98,9.08
Brajrajnagar,2019-09-19,5.24,1.95,9.55
Brajrajnagar,2019-09-20,10.74,1.99,9.46
Brajrajnagar,2019-09-21,11.38,2.04,10.41
Brajrajnagar,2019-09-22,8.73,1.84,8.76
Brajrajnagar,2019-09-23,9.36,1.5,8.21
Brajrajnagar,2019-09-24,,0,
Brajrajnagar,2019-09-25,4.85,1.24,8.77
Brajrajnagar,2019-09-26,6.28,1.91,8.67
Brajrajnagar,2019-09-27,5.87,2.01,9.07
Brajrajnagar,2019-09-28,8.3,2.02,9.04
Brajrajnagar,2019-09-29,13.28,1.9,9.56
Brajrajnagar,2019-09-30,8.81,2.14,9.2
Brajrajnagar,2019-10-01,8.45,2.17,9.12
Brajrajnagar,2019-10-02,15.17,2.07,9.24
Brajrajnagar,2019-10-03,10.3,2.03,9.1
Brajrajnagar,2019-10-04,7.69,2.23,9.67
Brajrajnagar,2019-10-05,8.36,2.17,8.54
Brajrajnagar,2019-10-06,7.86,2.06,8.36
Brajrajnagar,2019-10-07,9.91,2.09,8.5
Brajrajnagar,2019-10-08,8.59,1.68,8.64
Brajrajnagar,2019-10-09,11.6,1.6,8.69
Brajrajnagar,2019-10-10,,0,
Brajrajnagar,2019-10-11,11.04,1.1,9.77
Brajrajnagar,2019-10-12,10.42,2.02,9.01
Brajrajnagar,2019-10-13,6.99,2.07,8.85
Brajrajnagar,2019-10-14,6.33,1.62,8.96
Brajrajnagar,2019-10-15,14.13,1.06,9.14
Brajrajnagar,2019-10-16,6.34,2.12,9.07
Brajrajnagar,2019-10-17,8.46,2.16,9.24
Brajrajnagar,2019-10-18,9.1,1.81,8.39
Brajrajnagar,2019-10-19,12.77,2.11,8.87
Brajrajnagar,2019-10-20,6.08,1.72,8.76
Brajrajnagar,2019-10-21,9.73,2.16,8.88
Brajrajnagar,2019-10-22,8.53,2.23,8.76
Brajrajnagar,2019-10-23,11.54,2.17,8.79
Brajrajnagar,2019-10-24,8.4,2.03,7.41
Brajrajnagar,2019-10-25,7.08,2.04,7.02
Brajrajnagar,2019-10-26,11.56,2.15,7.22
Brajrajnagar,2019-10-27,5.35,1.88,8.68
Brajrajnagar,2019-10-28,,,
Brajrajnagar,2019-10-29,,,
Brajrajnagar,2019-10-30,,0,
Brajrajnagar,2019-10-31,12.82,1.61,9.41
Brajrajnagar,2019-11-01,10.87,2.31,9.14
Brajrajnagar,2019-11-02,13.3,2.38,9.44
Brajrajnagar,2019-11-03,6.59,2.13,9.85
Brajrajnagar,2019-11-04,11.95,0.8,9.84
Brajrajnagar,2019-11-05,8.22,1.4,10.75
Brajrajnagar,2019-11-06,8.78,1.41,10.37
Brajrajnagar,2019-11-07,14.19,0.52,10.27
Brajrajnagar,2019-11-08,12.46,0.6,12.66
Brajrajnagar,2019-11-09,11.79,0.63,13.9
Brajrajnagar,2019-11-10,3.84,0.31,14.83
Brajrajnagar,2019-11-11,18.7,0.47,16.54
Brajrajnagar,2019-11-12,11.75,0.62,16.66
Brajrajnagar,2019-11-13,13.4,0.64,16.25
Brajrajnagar,2019-11-14,16.54,0.7,16.39
Brajrajnagar,2019-11-15,20.33,0.74,16.09
Brajrajnagar,2019-11-16,15.26,0.78,14.74
Brajrajnagar,2019-11-17,13.89,0.39,14.44
Brajrajnagar,2019-11-18,18.41,0.49,13.49
Brajrajnagar,2019-11-19,13.95,0.87,13.49
Brajrajnagar,2019-11-20,11.63,0.88,13.21
Brajrajnagar,2019-11-21,10.03,0.89,12.73
Brajrajnagar,2019-11-22,12.97,0.92,12.72
Brajrajnagar,2019-11-23,9.92,0.96,12.71
Brajrajnagar,2019-11-24,6.85,0.97,11.92
Brajrajnagar,2019-11-25,13.04,0.97,12.01
Brajrajnagar,2019-11-26,9.81,0.81,11.97
Brajrajnagar,2019-11-27,11.19,1.02,11.32
Brajrajnagar,2019-11-28,12.03,1.09,12.18
Brajrajnagar,2019-11-29,12.24,0.51,12.3
Brajrajnagar,2019-11-30,,0,
Brajrajnagar,2019-12-01,,0,
Brajrajnagar,2019-12-02,14.98,0.65,9.94
Brajrajnagar,2019-12-03,13.2,1.17,11.07
Brajrajnagar,2019-12-04,14.92,1.13,11.69
Brajrajnagar,2019-12-05,15.09,0.85,12.63
Brajrajnagar,2019-12-06,22.34,0.77,12.14
Brajrajnagar,2019-12-07,19.15,0.81,12.04
Brajrajnagar,2019-12-08,9.13,0.41,10.7
Brajrajnagar,2019-12-09,25.04,0.44,11.26
Brajrajnagar,2019-12-10,21.61,0.91,11.96
Brajrajnagar,2019-12-11,17.7,1.08,12.33
Brajrajnagar,2019-12-12,13.86,1.01,12.61
Brajrajnagar,2019-12-13,15.87,0.63,12.09
Brajrajnagar,2019-12-14,15.01,0.4,11.53
Brajrajnagar,2019-12-15,,0,
Brajrajnagar,2019-12-16,,0,
Brajrajnagar,2019-12-17,16.74,0.57,12.05
Brajrajnagar,2019-12-18,22.37,0.6,11.58
Brajrajnagar,2019-12-19,17.32,0.57,12.21
Brajrajnagar,2019-12-20,23.22,0.46,8.27
Brajrajnagar,2019-12-21,17.85,0.94,5.98
Brajrajnagar,2019-12-22,23.61,0.82,5.22
